Lugar;Sitio;Casa;Altitud;Pendiente;Prom_sotob;PROM_BAMBU;Cob_dosel_Superior;Riqueza_ARB;DAP;Cavidades;Descomposicion
KAW ;1;2;419.1;0;3.6;0;4;3;17.74971352;4;1
KAW ;1;3;418.2;0;2.6;0;3;5;16.64756812;1;1.4
KAW ;1;4;418;0;9.8;0;3;7;28.76037769;3;1.5
KAW ;1;5;415.6;0;8.4;0;3;6;31.91078856;2;1
KAW ;1;6;424.8;0;4.2;0;3;5;35.77019899;1;1.142857143
KAW ;1;7;424;0;3.4;0;3;3;23.7715177;3;1.3
KAW ;1;8;421.6;0;3.8;0.2;2;5;35.44182764;3;1.714285714
KAW ;1;10;423.8;0;4.6;0;4;4;35.09291724;0;1
KAW ;1;11;426.1;0;5;0;3;5;19.36115355;11;1.375
KAW ;1;12;424.3;0;4.8;0;3;4;21.7166412;3;1.5
KAW ;1;14;420;0;4.4;0.2;3;5;17.42742552;0;1
KAW ;1;15;416.4;0;4;0;3;8;81.38;4;1.222222222
KAW ;1;16;426.2;0;11.8;0;2;4;19.4840421;1;1.555555556
KAW ;1;17;424.1;0;4.6;0;3;5;31.61089891;5;1.2
KAW ;1;18;422.2;0;5.6;0;2;5;49.08222222;7;1.444444444
KAW ;1;19;421;0;6;0;2;5;28.43621085;10;1.428571429
KAW ;1;20;418.7;0;4.6;0;4;6;22.28011204;5;1.333333333
KAW ;1;21;424.4;0;10.8;0;2;3;17.64185013;3;1.272727273
KAW ;1;23;421.6;0;7.4;0;1;3;18.4327913;4;1.714285714
KAW ;1;24;421.8;0;8.4;0;1;5;21.1867838;1;1.2
KAW ;1;30;420.1;0;17.2;0;1;1;21.2;1;1.5
KAW ;1;31;423.4;0;5.8;0;3;4;34.78571429;3;1.142857143
KAW ;1;34;420.3;0;9.8;0;3;4;25.475;0;1
KAW ;1;36;424.7;0;6.4;0;2;5;31.54811561;3;1.5
KAW ;1;38;422;0;5.6;0;2;5;18.7785587;1;1
KAW ;1;40;421.5;0;10;0;3;5;45.47379679;3;1
PIC ;2;81;404.4;1;15.4;0;2;3;33.19107037;0;1.333333333
PIC ;2;82;409.6;1;7.4;0;2;3;15.89158391;0;1
PIC ;2;83;402.7;1;11.2;9.6;4;2;45.4088108;0;1
PIC ;2;84;400;1;14;0;4;5;43.17961124;1;1.166666667
PIC ;2;85;386.7;2;7.2;0;4;5;30.14979628;0;1
PIC ;2;87;413.9;2;13.2;0;2;5;27.27199971;2;1.285714286
PIC ;2;88;414.2;1;7.6;0;3;3;31.45772855;0;1.25
PIC ;2;89;412.2;1;10.8;0;2;4;36.88601986;2;1.6
PIC ;2;91;409.9;2;4.2;0;3;5;30.65317036;1;1.333333333
PIC ;2;92;397.5;2;6.4;0;2;3;41.24211867;0;1
PIC ;2;94;421.3;2;7.8;0;2;4;33.11959935;1;1.833333333
PIC ;2;98;431.5;2;7.6;0;2;4;29.11303511;6;1.555555556
PIC ;2;99;425.6;2;15.6;1.4;2;4;15;0;2
PIC ;2;101;425.9;2;17.6;13;1;4;25.71640778;0;1
PIC ;2;102;429.4;2;27.8;22.2;3;4;42.27914439;2;1.4
PIC ;2;103;430;1;10.8;0.8;2;2;35.14144244;3;1.444444444
PIC ;2;104;428.2;1;10.8;0;1;3;50.0886109;15;2
PIC ;2;105;429.2;1;10.8;2.8;2;4;41.21089042;0;1.5
PIC ;2;106;433.6;1;6.2;0;3;3;26.32202699;0;1.666666667
PIC ;2;108;431.3;1;9.4;0;1;2;49.80392157;0;1.25
PIC ;2;109;430.6;1;9.8;0;2;4;47.10975299;0;1
PIC ;2;110;429.8;1;6.4;0;2;2;38.54787369;2;1.5
PIC ;2;111;426.1;2;4.6;0;2;4;64;0;1
PIC ;2;112;425.4;2;10;0;2;4;77.5;2;1.5
PIC ;2;114;406.4;2;6.8;0.2;3;1;43.1338596;2;1.5
PIC ;2;115;411.3;2;5;0;4;2;46.7583397;5;1.6
PIC ;2;117;403.6;2;3.6;0;3;3;36.45266743;6;1.375
PIC ;2;118;398.7;2;11.6;7.8;3;2;29.81484825;0;1.090909091
PIC ;2;119;380.7;2;2.2;0;2;3;35.99460148;2;1.5
PIC ;2;120;384.9;2;8.2;0;3;4;36.16723962;1;1
LLA ;3;121;1066.9;1;11;7.2;3;1;15.17273576;0;1
LLA ;3;122;1065.9;1;7.6;0.2;3;1;23.09325185;0;1.4
LLA ;3;123;1061.5;1;3.7;2;3;1;20.40361599;0;1
LLA ;3;124;1060.7;1;5.4;1;1;1;110;0;3
LLA ;3;125;1068.2;2;7.4;1.6;2;2;22.28163993;0;1
LLA ;3;127;1072.3;1;10.6;7.8;3;2;56.51477591;9;1.25
LLA ;3;128;1075.8;2;2.4;1.2;2;1;27.14885954;0;1.857142857
LLA ;3;129;1082.6;2;3.4;2;3;1;38.71912401;0;1.5
LLA ;3;132;1090.6;2;3.6;2;2;1;17.02953909;0;1
LLA ;3;133;1082.3;3;5.2;2.8;3;1;22.32761792;0;1.555555556
LLA ;3;134;1088.4;2;2;0;3;1;29.67116929;0;1.727272727
LLA ;3;135;1091;2;3;0.4;3;1;23.07463481;0;1.727272727
LLA ;3;136;1090;3;9.4;4.6;3;1;17.34466514;0;1.3
LLA ;3;137;1090.6;2;5.2;2.4;3;1;20.27465835;0;1.583333333
LLA ;3;138;1099;3;7.4;2.4;3;1;22.4051075;0;1.5
LLA ;3;140;1058.4;2;5.4;0.8;3;1;23.01829823;0;1.571428571
LLA ;3;141;1061.7;3;1;0.6;4;2;33.87206095;1;1.666666667
LLA ;3;142;1065.6;2;3.8;1.8;3;2;34.5683728;0;2
LLA ;3;143;1063.8;2;1.8;0.6;3;1;25.69911601;1;2
LLA ;3;144;1056.1;2;2;1.2;3;1;34.36287242;0;2
LLA ;3;145;1063.9;2;3;0.4;3;1;45.07813428;0;2
LLA ;3;146;1055.1;2;4.2;1.2;3;1;16.40391308;0;2
LLA ;3;147;1048;0;3.4;0;2;1;76;0;2
LLA ;3;151;1035;0;3.4;0.6;3;1;18.21755369;0;1.777777778
LLA ;3;152;1031.6;0;4.4;0.4;3;3;25.70690094;1;1.375
LLA ;3;153;1031;0;5.8;0.6;4;2;23.08725915;2;1.222222222
LLA ;3;154;1031.4;0;13.4;4.6;4;3;24.27047183;1;1.571428571
LLA ;3;155;1048.7;0;0.8;4.6;4;1;32.17044394;0;2
LLA ;3;156;1052.5;1;2.4;0.6;4;2;34.06251592;0;2
LLA ;3;159;1101.5;3;1.4;0.6;3;1;20.3939012;0;1.6
